
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  8.823e+00  3.043e+07      0.5 (warm up)
    1  8.618e+00  3.115e+07      0.5 (warm up)
    2  8.632e+00  3.110e+07      0.5 (warm up)
    3  8.552e+00  3.139e+07      0.5 
    4  8.608e+00  3.118e+07      0.5 
    5  8.630e+00  3.111e+07      0.5 
    6  8.561e+00  3.135e+07      0.5 
    7  8.558e+00  3.137e+07      0.5 
    8  8.634e+00  3.109e+07      0.5 
    9  8.626e+00  3.112e+07      0.5 
   10  8.605e+00  3.120e+07      0.5 
   11  8.548e+00  3.140e+07      0.5 
   12  8.546e+00  3.141e+07      0.5 
-----------------------------------------------------
Average performance:             0.5 +- 0.0 GFLOP/s
-----------------------------------------------------
