
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  8.069e+00  3.327e+07      0.6 (warm up)
    1  7.751e+00  3.463e+07      0.6 (warm up)
    2  7.804e+00  3.440e+07      0.6 (warm up)
    3  7.743e+00  3.467e+07      0.6 
    4  7.807e+00  3.438e+07      0.6 
    5  7.742e+00  3.467e+07      0.6 
    6  7.740e+00  3.468e+07      0.6 
    7  7.740e+00  3.468e+07      0.6 
    8  7.738e+00  3.469e+07      0.6 
    9  7.738e+00  3.469e+07      0.6 
   10  7.819e+00  3.433e+07      0.6 
   11  7.801e+00  3.441e+07      0.6 
   12  7.826e+00  3.430e+07      0.6 
-----------------------------------------------------
Average performance:             0.6 +- 0.0 GFLOP/s
-----------------------------------------------------
