
Total memory size: 393216 B, 384 KiB, 0 MiB

 Step    Time, s Interact/s  GFLOP/s
    0  2.057e+00  1.305e+08      2.2 (warm up)
    1  1.875e+00  1.432e+08      2.4 (warm up)
    2  1.872e+00  1.434e+08      2.4 (warm up)
    3  1.872e+00  1.434e+08      2.4 
    4  1.875e+00  1.432e+08      2.4 
    5  1.875e+00  1.432e+08      2.4 
    6  1.874e+00  1.433e+08      2.4 
    7  1.877e+00  1.431e+08      2.4 
    8  1.874e+00  1.432e+08      2.4 
    9  1.875e+00  1.432e+08      2.4 
   10  1.877e+00  1.430e+08      2.4 
   11  1.905e+00  1.409e+08      2.4 
   12  1.873e+00  1.433e+08      2.4 
-----------------------------------------------------
Average performance:             2.4 +- 0.0 GFLOP/s
-----------------------------------------------------
